Dates,sample_fund
2013-01-31,-0.745
2013-02-28,-2.495
2013-03-31,1.631
2013-04-30,6.336
2013-05-31,4.082
2013-06-30,-3.347
2013-07-31,0.066
2013-08-31,-4.204
2013-09-30,6.615
2013-10-31,7.126
2013-11-30,0.359
2013-12-31,3.439
2014-01-31,-3.27
2014-02-28,3.228
2014-03-31,1.47
2014-04-30,2.321
2014-05-31,6.985
2014-06-30,10.998
2014-07-31,1.509
2014-08-31,6.697
2014-09-30,6.906
2014-10-31,2.334
2014-11-30,5.518
2014-12-31,1.763
2015-01-31,7.328
2015-02-28,2.289
2015-03-31,0.866
2015-04-30,-4.51
2015-05-31,3.516
2015-06-30,0.791
2015-07-31,6.375
2015-08-31,-3.508
2015-09-30,-0.786
2015-10-31,0.193
2015-11-30,-2.412
2015-12-31,1.238
2016-01-31,-6.105
2016-02-29,-6.523
2016-03-31,7.498
2016-04-30,3.257
2016-05-31,3.688
2016-06-30,3.714
2016-07-31,6.707
2016-08-31,3.632
2016-09-30,-0.22
2016-10-31,2.187
2016-11-30,-6.62
2016-12-31,-2.487
2017-01-31,9.152
2017-02-28,5.095
2017-03-31,3.069
2017-04-30,6.659
2017-05-31,1.141
2017-06-30,0.391
2017-07-31,6.138
2017-08-31,2.51
2017-09-30,0.0
2017-10-31,5.394
2017-11-30,1.775
2017-12-31,5.588
2018-01-31,-1.841
2018-02-28,-4.232
2018-03-31,-2.587
2018-04-30,7.86
2018-05-31,-1.251
2018-06-30,-1.375
2018-07-31,3.776
2018-08-31,5.331
2018-09-30,-8.852
2018-10-31,-6.531
2018-11-30,3.278
2018-12-31,1.753
2019-01-31,-0.267
2019-02-28,-0.688
2019-03-31,3.64
2019-04-30,1.525
2019-05-31,1.749
2019-06-30,-0.901
2019-07-31,-4.523
2019-08-31,-1.592
2019-09-30,6.092
2019-10-31,3.095
2019-11-30,-1.044
2019-12-31,1.071
2020-01-31,6.499
2020-02-29,-2.383
2020-03-31,-20.316
2020-04-30,15.182
2020-05-31,-3.725
2020-06-30,5.352
2020-07-31,6.09
2020-08-31,4.507
2020-09-30,3.008
2020-10-31,1.735
2020-11-30,9.689
2020-12-31,7.984
2021-01-31,-3.276
2021-02-28,7.367
2021-03-31,4.918
2021-04-30,3.889
2021-05-31,6.141
2021-06-30,5.765
2021-07-31,5.515
2021-08-31,5.352
2021-09-30,1.752
2021-10-31,2.386
2021-11-30,-3.119
2021-12-31,4.481
2022-01-31,-2.263
2022-02-28,-5.242
2022-03-31,4.872
2022-04-30,-1.482
2022-05-31,-7.192
2022-06-30,-6.485
2022-07-31,12.1
2022-08-31,5.942
2022-09-30,-1.911
2022-10-31,1.855
2022-11-30,0.83
2022-12-31,-1.58
2023-01-31,-2.634
2023-02-28,-0.303
2023-03-31,1.128
2023-04-30,5.547
2023-05-31,4.913
2023-06-30,6.67
2023-07-31,6.069
2023-08-31,0.509
2023-09-30,3.394
2023-10-31,-3.76
2023-11-30,12.677
2023-12-31,7.332
2024-01-31,6.771
2024-02-29,3.495
2024-03-31,1.002
2024-04-30,7.654
2024-05-31,-3.546